u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
368834057,4736691981,0,160438767,True,포스코대로,primary,63.604,"LINESTRING (129.3553423 36.0204837, 129.3557486 36.0202667, 129.3559327 36.0201688)",,,,,,
368834057,4057920720,0,403444619,True,,secondary_link,78.44200000000001,"LINESTRING (129.3553423 36.0204837, 129.3554681 36.0203135, 129.3555378 36.0201508, 129.355578 36.0200315, 129.3556323 36.0198248)",,,,,,
414668049,4740468295,0,209141420,False,용당로,secondary,14.422,"LINESTRING (129.3615365 36.0356879, 129.3614492 36.0355791)",20,,,,,
414668049,4701487691,0,209141420,False,용당로,secondary,172.722,"LINESTRING (129.3615365 36.0356879, 129.3622099 36.0369939, 129.3622757 36.0371216)",20,,,,,
414668049,4738817576,0,"[468785620, 532143820]",True,,secondary,177.166,"LINESTRING (129.3615365 36.0356879, 129.3610726 36.0359269, 129.360953 36.0359668, 129.3607481 36.0360353, 129.359743 36.0363301)",,,,,,
414668430,4740213791,0,481077839,True,서동로,secondary,63.228,"LINESTRING (129.3667042 36.0406756, 129.3673868 36.0405389)",,,,,,
414668430,4740213795,0,480728008,True,중앙로,primary,44.429,"LINESTRING (129.3667042 36.0406756, 129.3665336 36.0405666, 129.3664904 36.0403456)",,4,,,,
414668430,4740288289,0,481085788,True,중앙로,primary,262.928,"LINESTRING (129.3667042 36.0406756, 129.3665108 36.0409106, 129.3664638 36.0410041, 129.3664269 36.0411295, 129.3663561 36.0413059, 129.3662112 36.0417003, 129.366042 36.0422591, 129.3659608 36.042462, 129.3657773 36.0429048)",,4,,,,
414668430,4740526327,0,481108541,True,삼호로,secondary,241.142,"LINESTRING (129.3667042 36.0406756, 129.3669375 36.0410669, 129.3671812 36.0417012, 129.3675923 36.0427183)",20,,,,,
414668430,436913264,0,532143816,True,서동로,secondary,231.48999999999998,"LINESTRING (129.3667042 36.0406756, 129.3663903 36.0407504, 129.3657142 36.0408742, 129.3650759 36.0409548, 129.3642776 36.0410683, 129.3641813 36.041081)",,,,,,
414668434,436561631,0,469125599,True,새천년대로,primary,15.993,"LINESTRING (129.3603745 36.0526748, 129.360305 36.0525424)",,4,,,,
414668434,4740288303,0,481084811,True,소티재로,primary,52.357,"LINESTRING (129.3603745 36.0526748, 129.3600756 36.0528673, 129.3599252 36.0529742)",7,,,,,
414668439,4740525278,0,143914402,False,환호로,secondary,30.205,"LINESTRING (129.3935811 36.0690489, 129.3933651 36.069257)",,,,,,
414668439,4740326713,0,470608392,False,,residential,13.72,"LINESTRING (129.3935811 36.0690489, 129.3936773 36.0689531)",,,,,,
414668439,4740525273,0,471346576,True,삼호로,secondary,34.13,"LINESTRING (129.3935811 36.0690489, 129.3932144 36.0689692)",20,,,,,
414896889,6089157367,0,648612956,False,,residential,16.92,"LINESTRING (129.218109 36.0680714, 129.2180539 36.0679259)",,,,,,
414896889,6089157346,0,648612954,False,,residential,403.50300000000004,"LINESTRING (129.218109 36.0680714, 129.2191328 36.0678248, 129.2197475 36.0676735, 129.2204757 36.0675331, 129.2209901 36.0673495, 129.2215179 36.0670471, 129.2221727 36.0666474)",,,,,,
414896889,414896890,0,"[648612953, 648612954, 653676413]",False,"['내단1교', '기계로']","['tertiary', 'residential']",66.99799999999999,"LINESTRING (129.218109 36.0680714, 129.2180479 36.0680862, 129.2174588 36.0682287, 129.2173949 36.0682442)",,,yes,,,
414896890,6089157352,0,648612953,False,기계로,tertiary,53.199,"LINESTRING (129.2173949 36.0682442, 129.2168293 36.0683852)",,,,,,
414896890,414896889,0,"[648612953, 648612954, 653676413]",False,"['기계로', '내단1교']","['tertiary', 'residential']",66.998,"LINESTRING (129.2173949 36.0682442, 129.2174588 36.0682287, 129.2180479 36.0680862, 129.218109 36.0680714)",,,yes,,,
414896890,6089157370,0,"[648612960, 648612959]",False,,residential,762.619,"LINESTRING (129.2173949 36.0682442, 129.2172856 36.0679313, 129.217159 36.0675261, 129.2170678 36.0672437, 129.2147032 36.0677798, 129.214126 36.0678371, 129.2137009 36.0678471, 129.2136045 36.0678494, 129.2131539 36.0678003, 129.2124906 36.0677266, 129.2115842 36.0676038, 129.2112406 36.0675625, 129.210845 36.0674729, 129.2100069 36.0673938)",,,,,,
414897202,4717682412,0,"[700410252, 663149669]",True,소티재로,primary,53.338,"LINESTRING (129.342684 36.0785215, 129.3427469 36.0782917, 129.3427688 36.0781928, 129.3428137 36.0780536)",7,,yes,,,
414897202,6577522105,0,700410253,True,,residential,26.512,"LINESTRING (129.342684 36.0785215, 129.3427558 36.0786369, 129.3428026 36.0787394)",,,,,,
414898227,4635239446,0,469125582,False,,residential,32.191,"LINESTRING (129.37811 36.0700591, 129.3783375 36.0698355)",,,,,,
414898227,4635239455,0,469125582,False,,residential,64.482,"LINESTRING (129.37811 36.0700591, 129.3779238 36.070217, 129.3776251 36.0704864)",,,,,,
414898227,4635085497,0,470608434,False,,residential,125.93199999999999,"LINESTRING (129.37811 36.0700591, 129.3782026 36.0701289, 129.3783408 36.0702208, 129.3784909 36.0702808, 129.3787361 36.070347, 129.3790581 36.070368, 129.3794045 36.07036)",,,,,,
414898256,4740326713,0,470608392,False,,residential,69.663,"LINESTRING (129.3938919 36.0683511, 129.3936773 36.0689531)",,,,,,
414898256,4756571389,0,395699104,False,환호공원길,residential,379.496,"LINESTRING (129.3938919 36.0683511, 129.3938122 36.0683272, 129.3935686 36.0682444, 129.3929913 36.0681421, 129.3922399 36.0678367, 129.3921727 36.0678161, 129.3914137 36.0678391, 129.3913502 36.0678288, 129.3907452 36.0676115, 129.3904674 36.0675283, 129.389881 36.0675288)",,,,,,
414898256,3985387283,0,395699104,False,환호공원길,residential,126.726,"LINESTRING (129.3938919 36.0683511, 129.3940443 36.0683686, 129.3944539 36.0682501, 129.3947504 36.0681882, 129.3950345 36.0682433, 129.3951491 36.0682768, 129.3952438 36.0683045)",,,,,,
414898268,1831662611,0,172242508,False,두호로,secondary,11.654,"LINESTRING (129.370737 36.0614451, 129.3706205 36.0614911)",,,,,,
414898268,7176667149,0,172242508,False,두호로,secondary,217.626,"LINESTRING (129.370737 36.0614451, 129.371483 36.0611112, 129.3721377 36.0608383, 129.3726282 36.0606663, 129.3729107 36.060592)",,,,,,
414898268,4738684391,0,648335958,True,새천년대로,primary,365.956,"LINESTRING (129.370737 36.0614451, 129.3708664 36.0621148, 129.370908 36.0622887, 129.3709607 36.0625091, 129.3713741 36.0642384, 129.3713899 36.0643043, 129.3714914 36.0646787)",,4,,,,
414898314,4740205174,0,361486768,False,해동로,secondary,8.693,"LINESTRING (129.3700529 36.0403053, 129.3700434 36.0402275)",,,,,,
414898314,4632583675,0,361486768,False,해동로,secondary,237.941,"LINESTRING (129.3700529 36.0403053, 129.3702126 36.041536, 129.3702208 36.0415799, 129.3704103 36.0424241)",,,,,,
414898314,4632583674,0,532143816,True,서동로,secondary,100.942,"LINESTRING (129.3700529 36.0403053, 129.3698538 36.0403317, 129.3696812 36.0403647, 129.3694077 36.0403937, 129.3690341 36.0404333, 129.3689445 36.0404457)",,,,,,
414898548,1724846521,0,361486764,False,죽파로,secondary,26.992,"LINESTRING (129.3616947 36.0274183, 129.3619429 36.0272818)",,,,,,
414898548,4636677867,0,361486764,False,죽파로,secondary,87.105,"LINESTRING (129.3616947 36.0274183, 129.3608866 36.0278502)",,,,,,
414898548,4677788839,0,136186982,False,중흥로,secondary,84.44200000000001,"LINESTRING (129.3616947 36.0274183, 129.3612392 36.0268406, 129.3611885 36.0267787)",,,,,,
414898548,6284023512,0,136186982,False,중흥로,secondary,226.41,"LINESTRING (129.3616947 36.0274183, 129.3619645 36.0277309, 129.3626339 36.0285412, 129.3630911 36.0291124)",,,,,,
414898551,414898552,0,136186982,False,중흥로,secondary,117.321,"LINESTRING (129.3579421 36.0226584, 129.3572635 36.0217573)",,,,,,
414898551,4057921189,0,136186982,False,중흥로,secondary,117.997,"LINESTRING (129.3579421 36.0226584, 129.3586246 36.0235647)",,,,,,
414898551,6282828790,0,403444640,False,중흥로213번길,residential,84.663,"LINESTRING (129.3579421 36.0226584, 129.3571479 36.0230672)",,,,,,
414898551,4057921192,0,895806738,False,중흥로214번길,residential,78.327,"LINESTRING (129.3579421 36.0226584, 129.3586668 36.0222677)",,,,,,
414898552,4057921171,0,136186982,False,중흥로,secondary,117.126,"LINESTRING (129.3572635 36.0217573, 129.3565214 36.0208917)",,,,,,
414898552,414898551,0,136186982,False,중흥로,secondary,117.321,"LINESTRING (129.3572635 36.0217573, 129.3579421 36.0226584)",,,,,,
