location,latitude,longitude
CGV 북포항,36.04049334,129.368166
최병철성형외과의원,36.0408634,129.366096
경상북도 포항시 북구 신흥동 810-4,36.04059013,129.3656614
경상북도 포항시 북구 신흥동 813-37,36.040261,129.365588
경상북도 포항시 북구 신흥동 813-24,36.04002777,129.3653285
경상북도 포항시 북구 신흥동 817-5,36.03973188,129.3654889
버르장머리미용실,36.0392913,129.3653416
라멘 베라보,36.03910107,129.3657787
추이비인후과의원,36.0381998,129.3667089
항구포차,36.03833641,129.3687609
의성회타운,36.03842467,129.36942
KT금호렌터카,36.03912074,129.3695016
성창기업,36.03967562,129.3695937
경상북도 포항시 북구 동빈2가 137-1,36.04015656,129.3695779
